Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Multiplatform
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,0
2,Grand Theft Auto V,PS3 X360 PS4 XOne PC,2013,Action,Take-Two Interactive,23.46,23.04,1.39,8.03,55.92,1
3,Super Mario Bros.,NES GB,1985,Platform,Nintendo,32.48,4.88,6.96,0.99,45.31,1
4,Tetris,GB NES,1989,Puzzle,Nintendo,26.17,2.95,6.03,0.69,35.84,1
5,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,0
6,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33,0
7,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37,0
8,Call of Duty: Modern Warfare 3,X360 PS3 PC Wii,2011,Shooter,Activision,15.58,11.29,0.62,3.35,30.83,1
9,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,0
10,Call of Duty: Black Ops II,PS3 X360 PC WiiU,2012,Shooter,Activision,14.08,11.05,0.72,3.88,29.72,1
11,Call of Duty: Black Ops,X360 PS3 Wii DS,2010,Shooter,Activision,17.01,8.69,0.59,3.12,29.4,1
12,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,0
13,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,0
14,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,0
15,Call of Duty: Ghosts,X360 PS3 PS4 XOne PC WiiU,2013,Shooter,Activision,14.92,9.05,0.48,2.92,27.38,1
16,Super Mario World,SNES GBA,1990,Platform,Nintendo,15.99,4.86,4.49,0.75,26.07,1
17,Call of Duty: Black Ops 3,PS4 XOne PS3 X360 PC,2015,Shooter,Activision,11.89,9.56,0.43,3.42,25.32,1
18,Call of Duty: Modern Warfare 2,X360 PS3 PC,2009,Shooter,Activision,13.52,8.11,0.46,3.01,25.09,1
19,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76,0
20,Grand Theft Auto: San Andreas,PS2 XB PC X360,2004,Action,Take-Two Interactive,10.77,1.96,0.41,10.72,23.86,1
21,Minecraft,X360 PS3 PS4 XOne PSV WiiU,2013,Misc,Microsoft Game Studios,10.82,8.85,1.15,2.93,23.73,1
22,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,0
23,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1,0
24,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,0
25,Super Mario Bros. 3,NES GBA,1988,Platform,Nintendo,12.47,4.69,4.67,0.66,22.48,1
26,Grand Theft Auto IV,X360 PS3 PC,2008,Action,Take-Two Interactive,11.53,7.65,0.58,2.73,22.47,1
27,Super Mario 64,N64 DS,1996,Platform,Nintendo,11.99,5.96,3.16,1.21,22.31,1
28,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22,0
29,Call of Duty: Advanced Warfare,PS4 XOne PS3 X360 PC,2014,Shooter,Activision,10.44,8.18,0.34,2.93,21.9,1
30,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,0
31,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,0
32,The Elder Scrolls V: Skyrim,X360 PS3 PC,2011,Role-Playing,Bethesda Softworks,8.73,7.66,0.35,2.54,19.28,1
33,FIFA 15,PS4 PS3 X360 XOne PSV Wii 3DS PC,2014,Sports,Electronic Arts,3.2,12.4,0.13,3.29,19.02,1
34,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,0
35,Call of Duty 4: Modern Warfare,X360 PS3 PC DS,2007,Shooter,Activision,9.97,5.82,0.42,2.05,18.25,1
36,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,0
37,Battlefield 3,X360 PS3 PC,2011,Shooter,Electronic Arts,8.2,6.49,0.41,2.27,17.36,1
38,FIFA 14,PS3 X360 PS4 XOne PSV PC Wii 3DS PSP,2013,Sports,Electronic Arts,2.84,11.14,0.2,2.98,17.14,1
39,FIFA 16,PS4 XOne PS3 X360 PC,2015,Sports,Electronic Arts,2.98,11.29,0.11,2.05,16.44,1
40,Guitar Hero III: Legends of Rock,PS2 Wii X360 PS3 PC,2007,Misc,Activision,11.15,2.59,0.04,2.64,16.4,1
41,Grand Theft Auto: Vice City,PS2 PC,2002,Action,Take-Two Interactive,8.41,5.52,0.47,1.79,16.19,1
42,FIFA Soccer 13,PS3 X360 Wii WiiU PSV PC PSP 3DS,2012,Action,Electronic Arts,2.64,10.25,0.23,3.03,16.16,1
43,Call of Duty: World at War,X360 PS3 Wii DS PC,2008,Shooter,Activision,9.3,4.75,0,1.83,15.87,1
44,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,0
45,LEGO Star Wars: The Complete Saga,Wii DS X360 PS3,2007,Action,LucasArts,9.1,5.01,0,1.62,15.75,1
46,The Sims 3,PC X360 PS3 Wii 3DS DS,2009,Simulation,Electronic Arts,4.28,9.6,0.05,1.53,15.45,1
47,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,0
48,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,0
49,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,0
50,Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,0
51,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,0
52,Need for Speed: Most Wanted,PS2 PS3 X360 X360 PSV XB GC PC WiiU DS GBA PC,2005,Racing,Electronic Arts,6.29,5.85,0.18,1.76,14.08,1
53,Battlefield 4,PS3 X360 PS4 XOne PC,2013,Shooter,Electronic Arts,6.41,5.57,0.46,1.6,14.03,1
54,Donkey Kong Country,SNES GB GBA,1994,Platform,Nintendo,6.6,2.91,3.59,0.43,13.53,1
55,Mario & Sonic at the Olympic Games,Wii DS,2007,Sports,Sega,4.22,6.38,1.1,1.49,13.2,1
56,Assassin's Creed IV: Black Flag,PS3 X360 PS4 XOne PC WiiU,2013,Action,Ubisoft,6.17,5.18,0.2,1.65,13.16,1
